,State,Maths %,Science %
171816,AN,25.42,36.36
170504,AN,25.42,44.64
169530,AN,25.42,45.45
170301,AN,25.42,28.57
170987,AN,25.42,33.93
171066,AN,25.42,39.29
170495,AN,25.42,42.86
170385,AN,25.42,52.73
170306,AN,25.42,32.14
170568,AN,25.42,36.36
171299,AN,25.42,44.64
169607,AN,25.42,45.45
170079,AN,25.42,47.27
170526,AN,25.42,32.14
171171,AN,25.42,58.18
170355,AN,25.42,42.86
171852,AN,25.42,74.55
171776,AN,25.42,41.07
170305,AN,26.67,36.36
170785,AN,26.67,26.79
171116,AN,26.67,19.76
171331,AN,26.67,12.73
171712,AN,26.67,29.09
169570,AN,26.67,37.5
169982,AN,26.67,48.21
171573,AN,26.67,30.36
171464,AN,26.67,58.93
169712,AN,26.67,14.29
170732,AN,26.67,19.64
170034,AN,26.67,25.0
171071,AN,26.67,32.73
171121,AN,26.67,34.55
170135,AN,26.67,17.86
170439,AN,26.67,23.64
170281,AN,26.67,32.73
170989,AN,26.67,32.73
170498,AN,26.67,36.36
170348,AN,26.67,36.36
169848,AN,26.67,50.0
171821,AN,26.67,44.64
169724,AN,26.67,30.36
170544,AN,26.67,23.21
170335,AN,26.67,38.18
169967,AN,26.67,26.79
170615,AN,26.67,56.36
170800,AN,26.67,46.43
170995,AN,26.67,49.09
170768,AN,26.67,49.09
169655,AN,26.67,40.0
169646,AN,26.67,50.91
169606,AN,26.67,32.14
170209,AN,26.67,61.82
169968,AN,27.12,47.27
170163,AN,27.12,25.45
170464,AN,27.12,36.36
171772,AN,27.12,25.45
170078,AN,27.12,35.71
169954,AN,27.12,40.0
169963,AN,27.12,32.73
170462,AN,27.12,40.0
171301,AN,27.12,41.07
170623,AN,27.12,39.29
169681,AN,27.12,16.07
170161,AN,27.12,23.64
170284,AN,27.12,28.57
169678,AN,27.12,28.57
170304,AN,27.12,41.07
170336,AN,27.12,30.36
171271,AN,27.12,35.71
171822,AN,27.12,38.18
171770,AN,27.12,41.82
170715,AN,27.12,25.45
171624,AN,27.12,34.55
170388,AN,27.12,29.09
169536,AN,27.12,43.64
170457,AN,27.12,41.82
170117,AN,27.12,38.18
169782,AN,27.12,44.64
170435,AN,27.12,45.45
171047,AN,28.33,19.64
170506,AN,28.33,30.91
170659,AN,28.33,32.73
170479,AN,28.33,39.29
169726,AN,28.33,25.0
170663,AN,28.33,28.57
170806,AN,28.33,32.14
170215,AN,28.33,36.36
170944,AN,28.33,37.5
169861,AN,28.33,44.64
169708,AN,28.33,16.07
170213,AN,28.33,27.27
171578,AN,28.33,33.93
170814,AN,28.33,35.71
169543,AN,28.33,64.29
169511,AN,28.33,23.21
170134,AN,28.33,23.64
170569,AN,28.33,30.36
169454,AN,28.33,26.79
169603,AN,28.33,37.5
170095,AN,28.33,32.14
169988,AN,28.33,41.07
170088,AN,28.33,25.0
171199,AN,28.33,66.07
170913,AN,28.33,28.57
170032,AN,28.33,35.71
170184,AN,28.33,32.73
169650,AN,28.33,36.36
170687,AN,28.33,39.29
170389,AN,28.33,46.43
171704,AN,28.33,54.55
170608,AN,28.33,38.18
169578,AN,28.33,39.29
171298,AN,28.33,67.27
171314,AN,28.33,45.45
169676,AN,28.81,26.79
171774,AN,28.81,45.45
171742,AN,28.81,32.73
170545,AN,28.81,18.18
170286,AN,28.81,26.79
171794,AN,28.81,41.82
170994,AN,28.81,19.64
170447,AN,28.81,35.28
169723,AN,28.81,50.91
169645,AN,28.81,32.14
169727,AN,28.81,34.55
169781,AN,28.81,41.82
169778,AN,28.81,44.64
171713,AN,28.81,23.21
169647,AN,28.81,35.71
170856,AN,28.81,25.45
171605,AN,28.81,29.09
171295,AN,28.81,35.71
170380,AN,28.81,41.07
170769,AN,28.81,25.0
171522,AN,28.81,50.91
170083,AN,28.81,63.64
170524,AN,28.81,25.0
170429,AN,28.81,38.18
169862,AN,28.81,56.36
171869,AN,28.81,76.36
171296,AN,30.0,18.18
171700,AN,30.0,58.18
169653,AN,30.0,36.36
169610,AN,30.0,42.86
169651,AN,30.0,14.55
171628,AN,30.0,23.21
170467,AN,30.0,28.57
